laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
38,Dell,Inspiron 5770,Notebook,17.3,Ips Panel Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,128Gb Ssd +  1Tb Hdd,Amd Radeon 530,Windows 10,2.8Kg,979.0
39,Hp,250 G6,Notebook,15.6,1366X768,Intel Core I5 7200U 2.5Ghz,4Gb,1Tb Hdd,Intel Hd Graphics 620,Windows 10,1.86Kg,488.69
40,Hp,Probook 450,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,256Gb Ssd,Nvidia Geforce 930Mx,Windows 10,2.1Kg,879.0
41,Asus,X540Ua-Dm186 (I3-6006U/4Gb/1Tb/Fhd/Linux),Notebook,15.6,Full Hd 1920X1080,Intel Core I3 6006U 2Ghz,4Gb,1Tb Hdd,Intel Hd Graphics 620,Linux,2Kg,389.0
42,Dell,Inspiron 7577,Gaming,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,16Gb,256Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1060,Windows 10,2.65Kg,1499.0
43,Asus,X542Uq-Go005 (I5-7200U/8Gb/1Tb/Geforce,Notebook,15.6,1366X768,Intel Core I5 7200U 2.5Ghz,8Gb,1Tb Hdd,Nvidia Geforce 940Mx,Linux,2.3Kg,522.99
44,Acer,Aspire A515-51G,Notebook,15.6,Ips Panel Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,4Gb,256Gb Ssd,Intel Uhd Graphics 620,Windows 10,2.2Kg,682.0
45,Dell,Inspiron 7773,2 In 1 Convertible,17.3,Full Hd / Touchscreen 1920X1080,Intel Core I5 8250U 1.6Ghz,12Gb,1Tb Hdd,Nvidia Geforce 150Mx,Windows 10,2.77Kg,999.0
46,Apple,Macbook Pro,Ultrabook,13.3,Ips Panel Retina Display 2560X1600,Intel Core I5 2.0Ghz,8Gb,256Gb Ssd,Intel Iris Graphics 540,Macos,1.37Kg,1419.0
47,Lenovo,Ideapad 320-15Isk,Notebook,15.6,1366X768,Intel Core I3 6006U 2Ghz,4Gb,128Gb Ssd,Intel Hd Graphics 520,No Os,2.2Kg,369.0
48,Asus,Rog Strix,Gaming,17.3,Full Hd 1920X1080,Amd Ryzen 1700 3Ghz,8Gb,256Gb Ssd +  1Tb Hdd,Amd Radeon Rx 580,Windows 10,3.2Kg,1299.0
49,Dell,Inspiron 3567,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,4Gb,256Gb Ssd,Amd Radeon R5 M430,Windows 10,2.3Kg,639.0
50,Asus,X751Nv-Ty001T (N4200/4Gb/1Tb/Geforce,Notebook,17.3,1366X768,Intel Pentium Quad Core N4200 1.1Ghz,4Gb,1Tb Hdd,Nvidia Geforce 920Mx,Windows 10,2.8Kg,466.0
51,Lenovo,Yoga Book,2 In 1 Convertible,10.1,Ips Panel Touchscreen 1920X1200,Intel Atom X5-Z8550 1.44Ghz,4Gb,64Gb Flash Storage,Intel Hd Graphics 400,Android,0.69Kg,319.0
52,Acer,Aspire A515-51G,Notebook,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,256Gb Ssd,Nvidia Geforce Mx150,Windows 10,2.2Kg,841.0
53,Hp,255 G6,Notebook,15.6,Full Hd 1920X1080,Amd A6-Series 9220 2.5Ghz,4Gb,256Gb Ssd,Amd Radeon R4 Graphics,Windows 10,1.86Kg,398.49
54,Hp,Probook 430,Notebook,13.3,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,512Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.49Kg,1103.0
55,Acer,Aspire 3,Notebook,15.6,1366X768,Intel Core I3 7100U 2.4Ghz,4Gb,1Tb Hdd,Intel Hd Graphics 620,Windows 10,2.4Kg,384.0
56,Dell,Inspiron 3576,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,256Gb Ssd,Amd Radeon 520,Windows 10,2.13Kg,767.8
57,Hp,15-Bs002Nv (I3-6006U/4Gb/128Gb/Fhd/W10),Notebook,15.6,Full Hd 1920X1080,Intel Core I3 6006U 2Ghz,4Gb,128Gb Ssd,Intel Hd Graphics 520,Windows 10,1.91Kg,439.0
58,Asus,Vivobook Max,Notebook,15.6,1366X768,Intel Core I5 7200U 2.5Ghz,4Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,2Kg,586.19
59,Msi,Gs73Vr 7Rg,Gaming,17.3,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,16Gb,256Gb Ssd +  2Tb Hdd,Nvidia Geforce Gtx 1070,Windows 10,2.43Kg,2449.0
60,Asus,X541Ua-Dm1897 (I3-6006U/4Gb/256Gb/Fhd/Linux),Notebook,15.6,Full Hd 1920X1080,Intel Core I3 6006U 2Ghz,4Gb,256Gb Ssd,Intel Hd Graphics 520,Linux,2Kg,415.0
61,Dell,Inspiron 5770,Notebook,17.3,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,16Gb,256Gb Ssd +  2Tb Hdd,Amd Radeon 530,Windows 10,2.8Kg,1299.0
62,Dell,Vostro 5471,Ultrabook,14.0,Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,256Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.7Kg,879.0
63,Lenovo,Ideapad 520S-14Ikb,Notebook,14.0,Ips Panel Full Hd 1920X1080,Intel Core I3 7130U 2.7Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,No Os,1.7Kg,599.0
64,Asus,Ux410Ua-Gv350T (I5-8250U/8Gb/256Gb/Fhd/W10),Notebook,14.0,Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,256Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.4Kg,941.0
66,Hp,250 G6,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.86Kg,690.0
67,Asus,Zenbook Pro,Ultrabook,15.6,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,16Gb,512Gb Ssd,Nvidia Geforce Gtx 1050 Ti,Windows 10,1.8Kg,1983.0
68,Hp,250 G6,Notebook,15.6,1366X768,Intel Core I3 6006U 2Ghz,4Gb,500Gb Hdd,Amd Radeon 520,Windows 10,1.86Kg,438.69
69,Hp,Stream 14-Ax040Wm,Notebook,14.0,1366X768,Intel Celeron Dual Core N3060 1.6Ghz,4Gb,32Gb Ssd,Intel Hd Graphics 400,Windows 10,1.44Kg,229.0
70,Lenovo,V310-15Isk (I5-7200U/4Gb/1Tb/Fhd/W10),Notebook,15.6,Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,4Gb,1Tb Hdd,Intel Hd Graphics 620,Windows 10,1.9Kg,549.0
71,Asus,Fx753Ve-Gc093 (I7-7700Hq/12Gb/1Tb/Geforce,Gaming,17.3,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,12Gb,1Tb Hdd,Nvidia Geforce Gtx 1050 Ti,Linux,3Kg,949.0
72,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256X1504,Intel Core I5 7200U 2.5Ghz,4Gb,128Gb Ssd,Intel Hd Graphics 620,Windows 10 S,1.252Kg,1089.0
73,Dell,Inspiron 5370,Ultrabook,13.3,Ips Panel Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,256Gb Ssd,Amd Radeon 530,Windows 10,1.4Kg,955.0
74,Dell,Inspiron 5570,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,256Gb Ssd,Amd Radeon 530,Windows 10,2.2Kg,870.0
75,Msi,Gl72M 7Rdx,Gaming,17.3,Full Hd 1920X1080,Intel Core I5 7300Hq 2.5Ghz,8Gb,128Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1050,Windows 10,2.7Kg,1095.0
76,Acer,Aspire E5-475,Notebook,14.0,1366X768,Intel Core I3 6006U 2Ghz,8Gb,1Tb Hdd,Intel Hd Graphics 520,Windows 10,2.1Kg,389.0
77,Asus,Fx503Vd-E4022T (I7-7700Hq/8Gb/1Tb/Geforce,Gaming,15.6,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,8Gb,1Tb Hdd,Nvidia Geforce Gtx 1050,Windows 10,2.2Kg,949.0
78,Lenovo,Ideapad 320-15Ikbn,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,2Tb Hdd,Intel Hd Graphics 620,No Os,2.2Kg,519.0
79,Dell,Inspiron 5570,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,128Gb Ssd +  1Tb Hdd,Intel Uhd Graphics 620,Windows 10,2.02Kg,855.0
80,Acer,Aspire A515-51G-32Mx,Notebook,15.6,Full Hd 1920X1080,Intel Core I3 7130U 2.7Ghz,4Gb,1Tb Hdd,Nvidia Geforce Mx130,Windows 10,2.2Kg,530.0
81,Hp,Probook 470,Notebook,17.3,Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,128Gb Ssd +  1Tb Hdd,Nvidia Geforce 930Mx,Windows 10,2.5Kg,977.0
82,Dell,Latitude 5590,Ultrabook,15.6,Ips Panel Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,256Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.88Kg,1096.16
83,Apple,"Macbook 12""",Ultrabook,12.0,Ips Panel Retina Display 2304X1440,Intel Core I5 1.3Ghz,8Gb,512Gb Ssd,Intel Hd Graphics 615,Macos,0.92Kg,1510.0
84,Hp,Probook 440,Notebook,14.0,Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.63Kg,860.0
85,Lenovo,Ideapad 320-15Ast,Notebook,15.6,Full Hd 1920X1080,Amd A6-Series 9220 2.5Ghz,4Gb,128Gb Ssd,Amd R4 Graphics,Windows 10,2.2Kg,399.0
86,Acer,Aspire 3,Notebook,15.6,1366X768,Amd A9-Series 9420 3Ghz,4Gb,1Tb Hdd,Amd Radeon R5,Windows 10,2.1Kg,395.0
87,Dell,Inspiron 7577,Gaming,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,16Gb,128Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1050 Ti,Windows 10,2.65Kg,1349.0
88,Hp,Pavilion 15-Ck000Nv,Ultrabook,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,256Gb Ssd,Nvidia Geforce Gtx 940Mx,Windows 10,1.83Kg,699.0
89,Hp,250 G6,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.96Kg,598.99
90,Asus,Fx503Vm-E4007T (I7-7700Hq/16Gb/1Tb,Gaming,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,16Gb,128Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1060,Windows 10,2.2Kg,1449.0
91,Dell,Xps 13,Ultrabook,13.3,Ips Panel Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,256Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.21Kg,1649.0
92,Asus,Fx550Ik-Dm018T (Fx-9830P/8Gb/1Tb/Radeon,Gaming,15.6,Full Hd 1920X1080,Amd Fx 9830P 3Ghz,8Gb,1Tb Hdd,Amd Radeon Rx 560,Windows 10,2.45Kg,699.0
93,Acer,Aspire 5,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,1Tb Hdd,Nvidia Geforce Mx150,Windows 10,2.2Kg,689.0
94,Hp,Probook 430,Notebook,13.3,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,16Gb,512Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.49Kg,1197.0
95,Dell,Inspiron 7577,Gaming,15.6,Full Hd 1920X1080,Intel Core I5 7300Hq 2.5Ghz,8Gb,256Gb Ssd,Nvidia Geforce Gtx 1060,Windows 10,2.65Kg,1195.0
96,Asus,Zenbook Ux430Ua,Ultrabook,14.0,Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.25Kg,1049.0
97,Acer,Spin 5,2 In 1 Convertible,13.3,Ips Panel Full Hd / Touchscreen 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,256Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.5Kg,847.0
98,Dell,Inspiron 3567,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,1Tb Hdd,Amd Radeon R5 M430,Linux,2.2Kg,599.9
99,Dell,Inspiron 3567,Notebook,15.6,Full Hd 1920X1080,Intel Core I3 6006U 2Ghz,4Gb,256Gb Ssd,Amd Radeon R5 M430,Linux,2.2Kg,485.0
100,Asus,X541Uv-Dm1439T (I3-7100U/6Gb/256Gb/Geforce,Notebook,15.6,Full Hd 1920X1080,Intel Core I3 7100U 2.4Ghz,6Gb,256Gb Ssd,Nvidia Geforce 920M,Windows 10,2Kg,577.0
102,Hp,Omen 15-Ce007Nv,Gaming,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,12Gb,128Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1050,Windows 10,2.62Kg,1249.0
103,Hp,15-Bs017Nv (I7-7500U/8Gb/256Gb/Radeon,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,256Gb Ssd,Amd Radeon 530,Windows 10,1.91Kg,719.0
104,Hp,15-Bw000Nv (E2-9000E/4Gb/500Gb/Radeon,Notebook,15.6,Full Hd 1920X1080,Amd E-Series E2-9000E 1.5Ghz,4Gb,500Gb Hdd,Amd Radeon R2,Windows 10,2.1Kg,349.0
105,Dell,Inspiron 3576,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,1Tb Hdd,Amd Radeon 520,Linux,2.2Kg,647.0
106,Hp,Envy 13-Ad009N,Ultrabook,13.3,Ips Panel Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,256Gb Ssd,Nvidia Geforce Mx150,Windows 10,1.38Kg,1119.0
107,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256X1504,Intel Core I5 7200U 2.5Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10 S,1.252Kg,1340.0
108,Hp,Pavilion 14-Bk001Nv,Notebook,14.0,Ips Panel Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,6Gb,256Gb Ssd,Nvidia Geforce 940Mx,Windows 10,1.58Kg,659.0
109,Lenovo,Ideapad 310-15Isk,Notebook,15.6,Full Hd 1920X1080,Intel Core I3 6006U 2Ghz,4Gb,1Tb Hdd,Intel Hd Graphics 520,Windows 10,1.85Kg,414.9
110,Asus,Ux430Uq-Gv209R (I7-7500U/8Gb/256Gb/Geforce,Ultrabook,14.0,Ips Panel Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,256Gb Ssd,Nvidia Geforce 940Mx,Windows 10,1.3Kg,1193.0
111,Msi,Gp62M 7Rex,Gaming,15.6,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,16Gb,256Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1050 Ti,Windows 10,2.2Kg,1299.0
112,Lenovo,Thinkpad T470,Notebook,14.0,Ips Panel Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.58Kg,1480.0
113,Asus,Vivobook S15,Ultrabook,15.6,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,16Gb,256Gb Ssd +  1Tb Hdd,Nvidia Geforce Mx150,Windows 10,1.5Kg,1262.0
114,Dell,Xps 13,Ultrabook,13.3,Quad Hd+ / Touchscreen 3200X1800,Intel Core I7 7560U 2.4Ghz,8Gb,256Gb Ssd,Intel Iris Plus Graphics 640,Windows 10,1.23Kg,1379.0
115,Lenovo,Thinkpad Yoga,2 In 1 Convertible,13.3,Ips Panel Full Hd / Touchscreen 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.37Kg,1399.0
116,Hp,Probook 440,Notebook,14.0,Ips Panel 1366X768,Intel Core I5 8250U 1.6Ghz,4Gb,500Gb Hdd,Intel Uhd Graphics 620,Windows 10,1.63Kg,722.0
117,Dell,Xps 13,Ultrabook,13.3,Ips Panel Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,256Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.21Kg,1629.0
118,Hp,Spectre X360,2 In 1 Convertible,13.3,Ips Panel Full Hd / Touchscreen 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,256Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.26Kg,1398.99
119,Hp,Probook 440,Notebook,14.0,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,512Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.63Kg,1084.0
120,Dell,Inspiron 7570,Notebook,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,256Gb Ssd +  1Tb Hdd,Nvidia Geforce 940Mx,Windows 10,2.16Kg,1130.33
121,Asus,X705Uv-Bx074T (I3-6006U/4Gb/1Tb/Geforce,Notebook,17.3,Full Hd 1920X1080,Intel Core I3 6006U 2Ghz,4Gb,1Tb Hdd,Nvidia Geforce 920Mx,Windows 10,2Kg,564.0
122,Asus,Vivobook S15,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,256Gb Ssd,Nvidia Geforce 940Mx,Windows 10,1.7Kg,1118.0
123,Acer,Spin 3,Notebook,15.6,Ips Panel Full Hd / Touchscreen 1920X1080,Intel Core I3 7100U 2.4Ghz,6Gb,1Tb Hdd,Intel Hd Graphics 620,Windows 10,2.1Kg,479.0
124,Msi,Gs63Vr 7Rg,Gaming,15.6,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,16Gb,256Gb Ssd +  2Tb Hdd,Nvidia Geforce Gtx 1070,Windows 10,1.8Kg,2241.5
125,Lenovo,Ideapad 320-15Ikbn,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,256Gb Ssd,Nvidia Geforce 940Mx,No Os,2.2Kg,629.0
126,Hp,Probook 470,Notebook,17.3,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,16Gb,512Gb Ssd,Nvidia Geforce 930Mx,Windows 10,2.5Kg,1271.0
127,Acer,Aspire 3,Notebook,15.6,1366X768,Amd A9-Series 9420 3Ghz,4Gb,256Gb Ssd,Amd Radeon R5,Windows 10,2.1Kg,451.0
128,Hp,250 G6,Notebook,15.6,1366X768,Intel Celeron Dual Core N3060 1.6Ghz,4Gb,500Gb Hdd,Intel Hd Graphics 400,No Os,1.86Kg,259.0
129,Hp,Probook 440,Notebook,14.0,Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,1Tb Hdd,Intel Uhd Graphics 620,Windows 10,1.63Kg,812.0
130,Asus,E402Wa-Ga007T (E2-6110/4Gb/64Gb/W10,Notebook,14.0,1366X768,Amd E-Series 6110 1.5Ghz,4Gb,64Gb Ssd,Amd Radeon R2,Windows 10 S,1.65Kg,277.99
131,Dell,Inspiron 5770,Notebook,17.3,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,16Gb,256Gb Ssd +  2Tb Hdd,Amd Radeon 530,Windows 10,2.8Kg,1396.0
